table_id,sequence_number,topic_id
B07401,1,0
B07401,1,1
B07402,1,0
B07402,1,1
B07403,1,1
B07403,1,2
B07404A,1,3
B07404A,1,1
B07404B,1,3
B07404B,1,1
B07404C,1,3
B07404C,1,1
B07404D,1,3
B07404D,1,1
B07404E,1,3
B07404E,1,1
B07404F,1,3
B07404F,1,1
B07404G,1,3
B07404G,1,1
B07404H,1,3
B07404H,1,1
B07404I,1,3
B07404I,1,1
B07407,1,1
B07407,1,4
C07401,1,0
C07401,1,1
B07408,2,5
B07408,2,1
B07409,2,6
B07409,2,1
B07410,2,1
B07410,2,7
B07411,2,1
B07411,2,7
B07412,2,8
B07412,2,1
B07413,2,1
B07413,2,9
C07408,2,5
C07408,2,1
B08406,3,10
B08406,3,11
B08412,3,10
B08412,3,11
B08511,3,10
B08511,3,11
B08511,3,4
C08406,3,10
C08406,3,11
C08412,3,10
C08412,3,11
C08511,3,10
C08511,3,11
C08511,3,4
B08501,4,0
B08501,4,10
B08501,4,11
B08503,4,0
B08503,4,10
B08503,4,11
B08505A,4,10
B08505A,4,11
B08505A,4,3
B08505B,4,10
B08505B,4,11
B08505B,4,3
B08505C,4,10
B08505C,4,11
B08505C,4,3
B08505D,4,10
B08505D,4,11
B08505D,4,3
B08505E,4,10
B08505E,4,11
B08505E,4,3
B08505F,4,10
B08505F,4,11
B08505F,4,3
B08505G,4,10
B08505G,4,11
B08505G,4,3
B08505H,4,10
B08505H,4,11
B08505H,4,3
B08505I,4,10
B08505I,4,11
B08505I,4,3
C08501,4,0
C08501,4,10
C08501,4,11
C08505A,4,10
C08505A,4,11
C08505A,4,3
C08505B,4,10
C08505B,4,11
C08505B,4,3
C08505C,4,10
C08505C,4,11
C08505C,4,3
C08505D,4,10
C08505D,4,11
C08505D,4,3
C08505E,4,10
C08505E,4,11
C08505E,4,3
C08505F,4,10
C08505F,4,11
C08505F,4,3
C08505G,4,10
C08505G,4,11
C08505G,4,3
C08505H,4,10
C08505H,4,11
C08505H,4,3
C08505I,4,10
C08505I,4,11
C08505I,4,3
B08513,5,10
B08513,5,11
B08513,5,12
B08519,5,10
B08519,5,11
B08519,5,7
C08513,5,10
C08513,5,11
C08513,5,12
C08519,5,10
