topic_id,topic
21,seniors
4,citizenship
2,sex
10,commute
1,migration
6,education
11,employment
17,children
29,mortgage
26,housing
27,occupancy
5,marital status
7,income
25,veterans
30,group quarters
16,families
22,grandparents
14,ancestry
8,poverty
18,family type
19,public assistance
23,physical characteristics
12,language
13,technical
0,age
20,relationship type
15,place of birth
3,race
9,tenure
28,costs and value
24,fertility
