table_id,sequence_number,topic_id
B00001,12,0
B00002,12,0
B01001,13,1
B01001,13,2
B01001A,13,1
B01001A,13,3
B01001A,13,2
B01001B,13,1
B01001B,13,3
B01001B,13,2
B01001C,13,1
B01001C,13,3
B01001C,13,2
B01001D,13,1
B01001D,13,3
B01001D,13,2
B01001E,14,1
B01001E,14,3
B01001E,14,2
B01001F,14,1
B01001F,14,3
B01001F,14,2
B01001G,14,1
B01001G,14,3
B01001G,14,2
B01001H,14,1
B01001H,14,3
B01001H,14,2
B01001I,14,1
B01001I,14,3
B01001I,14,2
B01002,14,1
B01002,14,2
B01002A,14,1
B01002A,14,3
B01002A,14,2
B01002B,14,1
B01002B,14,3
B01002B,14,2
B01002C,14,1
B01002C,14,3
B01002C,14,2
B01002D,14,1
B01002D,14,3
B01002D,14,2
B01002E,14,1
B01002E,14,3
B01002E,14,2
B01002F,14,1
B01002F,14,3
B01002F,14,2
B01002G,14,1
B01002G,14,3
B01002G,14,2
B01002H,14,1
B01002H,14,3
B01002H,14,2
B01002I,14,1
B01002I,14,3
B01002I,14,2
B01003,14,1
B01003,14,2
B02001,15,3
B02003,15,3
B02005,15,3
B02006,15,3
B02007,15,3
B02008,15,3
B02009,15,3
B02010,15,3
B02011,15,3
B02012,15,3
B02013,15,3
B03001,16,3
B03002,16,3
B03003,16,3
B04001,17,4
B04002,18,4
B04003,19,4
B04004,20,4
B04005,21,4
B04006,22,4
B04007,22,4
B05001,23,5
B05001,23,6
B05001PR,169,5
B05001PR,169,6
B05002,169,5
B05002,169,6
B05003,169,5
B05003,169,1
B05003,169,6
B05003,169,2
B05003A,169,5
B05003A,169,1
B05003A,169,3
B05003A,169,6
B05003A,169,2
B05003B,169,5
B05003B,169,1
B05003B,169,3
B05003B,169,6
B05003B,169,2
B05003C,169,5
B05003C,169,1
B05003C,169,3
B05003C,169,6
B05003C,169,2
B05003D,169,5
B05003D,169,1
B05003D,169,3
B05003D,169,6
B05003D,169,2
B05003E,170,5
B05003E,170,1
B05003E,170,3
B05003E,170,6
B05003E,170,2
B05003F,170,5
B05003F,170,1
B05003F,170,3
B05003F,170,6
B05003F,170,2
B05003G,170,5
B05003G,170,1
B05003G,170,3
B05003G,170,6
B05003G,170,2
B05003H,170,5
B05003H,170,1
B05003H,170,3
B05003H,170,6
B05003H,170,2
B05003I,170,5
B05003I,170,1
B05003I,170,3
B05003I,170,6
B05003I,170,2
B05004,170,5
B05004,170,1
B05004,170,6
B05004,170,2
B05005,24,5
B05005,24,6
B05005PR,170,5
B05005PR,170,6
B05006,25,5
B05007,26,5
B05007,26,6
B05008,27,5
B05008,27,2
B05009,27,5
B05009,27,7
B05009,27,8
B05010,27,5
B05010,27,9
B05010,27,7
B05010,27,8
B05010,27,10
B05012,27,5
B06001,28,5
B06001,28,1
B06001PR,171,5
B06001PR,171,1
B06002,28,5
B06002,28,1
B06002PR,171,5
B06002PR,171,1
B06003,28,5
B06003,28,2
B06003PR,171,5
B06003PR,171,2
B06004A,28,5
B06004A,28,3
B06004APR,171,5
B06004APR,171,3
B06004B,28,5
B06004B,28,3
B06004BPR,171,5
B06004BPR,171,3
B06004C,28,5
B06004C,28,3
B06004CPR,171,5
B06004CPR,171,3
B06004D,28,5
B06004D,28,3
