table_id,sequence_number,topic_id
B00001,9,0
B00002,9,0
B01001,10,1
B01001,10,2
B01001A,10,1
B01001A,10,3
B01001A,10,2
B01001B,10,1
B01001B,10,3
B01001B,10,2
B01001C,10,1
B01001C,10,3
B01001C,10,2
B01001D,10,1
B01001D,10,3
B01001D,10,2
B01001E,11,1
B01001E,11,3
B01001E,11,2
B01001F,11,1
B01001F,11,3
B01001F,11,2
B01001G,11,1
B01001G,11,3
B01001G,11,2
B01001H,11,1
B01001H,11,3
B01001H,11,2
B01001I,11,1
B01001I,11,3
B01001I,11,2
B01002,11,1
B01002,11,2
B01002A,11,1
B01002A,11,3
B01002A,11,2
B01002B,11,1
B01002B,11,3
B01002B,11,2
B01002C,11,1
B01002C,11,3
B01002C,11,2
B01002D,11,1
B01002D,11,3
B01002D,11,2
B01002E,11,1
B01002E,11,3
B01002E,11,2
B01002F,11,1
B01002F,11,3
B01002F,11,2
B01002G,11,1
B01002G,11,3
B01002G,11,2
B01002H,11,1
B01002H,11,3
B01002H,11,2
B01002I,11,1
B01002I,11,3
B01002I,11,2
B01003,11,1
B01003,11,2
B02001,12,3
B02005,12,3
B02006,12,3
B02007,12,3
B02008,12,3
B02009,12,3
B02010,12,3
B02011,12,3
B02012,12,3
B02013,12,3
B03001,13,3
B03002,13,3
B03003,13,3
B04001,14,4
B04002,14,4
B04003,15,4
B04004,15,4
B04005,16,4
B04006,16,4
B04007,16,4
B05001,17,5
B05001,17,6
B05001PR,111,5
B05001PR,111,6
B05002,111,5
B05002,111,6
B05003,111,5
B05003,111,1
B05003,111,6
B05003,111,2
B05003A,111,5
B05003A,111,1
B05003A,111,3
B05003A,111,6
B05003A,111,2
B05003B,111,5
B05003B,111,1
B05003B,111,3
B05003B,111,6
B05003B,111,2
B05003C,111,5
B05003C,111,1
B05003C,111,3
B05003C,111,6
B05003C,111,2
B05003D,111,5
B05003D,111,1
B05003D,111,3
B05003D,111,6
B05003D,111,2
B05003E,111,5
B05003E,111,1
B05003E,111,3
B05003E,111,6
B05003E,111,2
B05003F,111,5
B05003F,111,1
B05003F,111,3
B05003F,111,6
B05003F,111,2
B05003G,111,5
B05003G,111,1
B05003G,111,3
B05003G,111,6
B05003G,111,2
B05003H,111,5
B05003H,111,1
B05003H,111,3
B05003H,111,6
B05003H,111,2
B05003I,112,5
B05003I,112,1
B05003I,112,3
B05003I,112,6
B05003I,112,2
B05004,112,5
B05004,112,1
B05004,112,6
B05004,112,2
B05005,18,5
B05005,18,6
B05005PR,112,5
B05005PR,112,6
B05006,18,5
B05006PR,112,5
B05007,19,5
B05007,19,6
B05008,19,5
B05008,19,2
B05009,19,5
B05009,19,7
B05009,19,8
B05010,19,5
B05010,19,9
B05010,19,7
B05010,19,8
B05010,19,10
B05012,19,5
B06001,20,5
B06001,20,1
B06001PR,113,5
B06001PR,113,1
B06002,20,5
B06002,20,1
B06002PR,113,5
B06002PR,113,1
B06003,20,5
B06003,20,2
B06003PR,113,5
B06003PR,113,2
B06004A,20,5
B06004A,20,3
