table_id,sequence_number,topic_id
B06004APR,113,5
B06004APR,113,3
B06004B,20,5
B06004B,20,3
B06004BPR,113,5
B06004BPR,113,3
B06004C,20,5
B06004C,20,3
B06004CPR,113,5
B06004CPR,113,3
B06004D,20,5
B06004D,20,3
B06004DPR,113,5
B06004DPR,113,3
B06004E,20,5
B06004E,20,3
B06004EPR,113,5
B06004EPR,113,3
B06004F,20,5
B06004F,20,3
B06004FPR,113,5
B06004FPR,113,3
B06004G,20,5
B06004G,20,3
B06004GPR,113,5
B06004GPR,113,3
B06004H,20,5
B06004H,20,3
B06004HPR,113,5
B06004HPR,113,3
B06004I,20,5
B06004I,20,3
B06004IPR,113,5
B06004IPR,113,3
B06007,21,5
B06007,21,11
B06007PR,114,5
B06007PR,114,11
B06008,21,12
B06008,21,5
B06008PR,114,12
B06008PR,114,5
B06009,21,5
B06009,21,13
B06009PR,114,5
B06009PR,114,13
B06010,21,5
B06010,21,10
B06010PR,114,5
B06010PR,114,10
B06011,21,5
B06011,21,10
B06011PR,114,5
B06011PR,114,10
B06012,21,5
B06012,21,9
B06012PR,114,5
B06012PR,114,9
B07001,22,1
B07001,22,14
B07001PR,115,1
B07001PR,115,14
B07002,22,1
B07002,22,14
B07002PR,115,1
B07002PR,115,14
B07003,22,14
B07003,22,2
B07003PR,115,14
B07003PR,115,2
B07004A,22,3
B07004A,22,14
B07004APR,115,3
B07004APR,115,14
B07004B,22,3
B07004B,22,14
B07004BPR,115,3
B07004BPR,115,14
B07004C,22,3
B07004C,22,14
B07004CPR,115,3
B07004CPR,115,14
B07004D,22,3
B07004D,22,14
B07004DPR,115,3
B07004DPR,115,14
B07004E,22,3
B07004E,22,14
B07004EPR,115,3
B07004EPR,115,14
B07004F,22,3
B07004F,22,14
B07004FPR,115,3
B07004FPR,115,14
B07004G,22,3
B07004G,22,14
B07004GPR,115,3
B07004GPR,115,14
B07004H,22,3
B07004H,22,14
B07004HPR,115,3
B07004HPR,115,14
B07004I,22,3
B07004I,22,14
B07004IPR,115,3
B07004IPR,115,14
B07007,22,14
B07007,22,6
B07007PR,115,14
B07007PR,115,6
B07008,22,12
B07008,22,14
B07008PR,115,12
B07008PR,115,14
B07009,23,13
B07009,23,14
B07009PR,116,13
B07009PR,116,14
B07010,23,14
B07010,23,10
B07010PR,116,14
B07010PR,116,10
B07011,23,14
B07011,23,10
B07011PR,116,14
B07011PR,116,10
B07012,23,9
B07012,23,14
B07012PR,116,9
B07012PR,116,14
B07013,23,14
B07013,23,15
B07013PR,116,14
B07013PR,116,15
B07101,116,14
B07202PR,116,14
B07203PR,116,14
B07204,24,14
B07204PR,117,14
B07401,1,1
B07401,1,14
B07401PR,109,1
B07401PR,109,14
B07402,1,1
B07402,1,14
B07402PR,109,1
B07402PR,109,14
B07403,1,14
B07403,1,2
B07403PR,109,14
B07403PR,109,2
B07404A,1,3
B07404A,1,14
B07404APR,109,3
B07404APR,109,14
B07404B,1,3
B07404B,1,14
B07404BPR,109,3
B07404BPR,109,14
B07404C,1,3
B07404C,1,14
B07404CPR,109,3
B07404CPR,109,14
B07404D,1,3
B07404D,1,14
B07404DPR,109,3
B07404DPR,109,14
B07404E,1,3
B07404E,1,14
B07404EPR,109,3
B07404EPR,109,14
B07404F,1,3
B07404F,1,14
B07404FPR,109,3
B07404FPR,109,14
B07404G,1,3
B07404G,1,14
B07404GPR,109,3
B07404GPR,109,14
B07404H,1,3
B07404H,1,14
B07404HPR,109,3
B07404HPR,109,14
B07404I,1,3
B07404I,1,14
B07404IPR,109,3
B07404IPR,109,14
B07407,1,14
B07407,1,6
B07407PR,109,14
B07407PR,109,6
B07408,1,12
B07408,1,14
B07408PR,109,12
B07408PR,109,14
B07409,1,13
B07409,1,14
B07409PR,109,13
B07409PR,109,14
B07410,2,14
B07410,2,10
B07410PR,110,14
B07410PR,110,10
B07411,2,14
B07411,2,10
B07411PR,110,14
B07411PR,110,10
B07412,2,9
B07412,2,14
B07412PR,110,9
B07412PR,110,14
B07413,2,14
B07413,2,15
B07413PR,110,14
B07413PR,110,15
B08006,25,16
B08006,25,17
B08007,25,16
B08007,25,17
B08008,25,16
B08008,25,17
B08009,25,16
B08009,25,17
B08011,25,16
B08011,25,17
B08012,25,16
B08012,25,17
B08013,25,16
B08013,25,17
B08013,25,2
B08014,25,16
B08014,25,17
B08015,25,16
B08015,25,17
B08015,25,2
B08016,25,16
B08016,25,17
B08017,26,16
B08017,26,17
B08018,26,16
B08018,26,17
B08101,26,1
B08101,26,16
B08101,26,17
B08103,26,1
B08103,26,16
B08103,26,17
B08105A,26,16
B08105A,26,17
B08105A,26,3
B08105B,26,16
B08105B,26,17
B08105B,26,3
B08105C,26,16
B08105C,26,17
B08105C,26,3
B08105D,26,16
B08105D,26,17
B08105D,26,3
B08105E,26,16
B08105E,26,17
B08105E,26,3
B08105F,26,16
B08105F,26,17
B08105F,26,3
B08105G,26,16
B08105G,26,17
B08105G,26,3
B08105H,26,16
B08105H,26,17
B08105H,26,3
B08105I,26,16
B08105I,26,17
B08105I,26,3
B08111,26,16
B08111,26,17
B08111,26,6
B08113,27,16
B08113,27,17
B08113,27,11
B08119,27,16
B08119,27,17
B08119,27,10
B08121,27,16
B08121,27,17
B08121,27,10
B08122,27,17
B08122,27,16
B08122,27,9
B08124,27,16
B08124,27,17
B08126,28,16
B08126,28,17
B08128,28,16
B08128,28,17
B08130,28,16
B08130,28,17
B08131,28,16
B08131,28,17
B08132,29,16
B08132,29,17
B08133,29,16
B08133,29,17
B08135,29,16
B08135,29,17
B08137,29,16
B08137,29,17
B08137,29,15
B08141,29,16
B08141,29,17
B08201,30,16
B08201,30,7
B08202,30,17
B08202,30,16
B08202,30,7
B08203,30,17
B08203,30,16
B08203,30,7
B08301,30,16
B08301,30,17
B08302,30,16
B08302,30,17
B08303,30,16
B08303,30,17
B08406,3,16
B08406,3,17
B08412,3,16
B08412,3,17
B08501,4,1
B08501,4,16
B08501,4,17
B08503,4,1
B08503,4,16
B08503,4,17
B08505A,4,16
B08505A,4,17
B08505A,4,3
B08505B,4,16
B08505B,4,17
B08505B,4,3
B08505C,4,16
B08505C,4,17
B08505C,4,3
B08505D,4,16
B08505D,4,17
B08505D,4,3
B08505E,4,16
B08505E,4,17
B08505E,4,3
B08505F,4,16
B08505F,4,17
B08505F,4,3
B08505G,4,16
B08505G,4,17
B08505G,4,3
B08505H,4,16
B08505H,4,17
B08505H,4,3
B08505I,4,16
B08505I,4,17
B08505I,4,3
B08511,4,16
B08511,4,17
B08511,4,6
B08513,4,16
B08513,4,17
B08513,4,11
B08519,3,16
B08519,3,17
B08519,3,10
B08521,3,16
B08521,3,17
B08521,3,10
B08522,3,17
B08522,3,16
B08522,3,9
B08524,3,16
B08524,3,17
B08526,5,16
B08526,5,17
B08528,5,16
B08528,5,17
B08532,6,16
B08532,6,17
B08534,6,16
B08534,6,17
B08536,6,16
B08536,6,17
B08537,6,16
B08537,6,17
B08537,6,15
B08541,7,16
B08541,7,17
B08601,7,16
B08601,7,17
B08602,7,16
B08602,7,17
B08603,7,16
B08603,7,17
B09001,31,1
B09001,31,8
B09002,31,18
B09002,31,7
B09002,31,8
B09005,31,7
B09005,31,8
B09006,31,7
B09006,31,8
B09008,31,7
B09008,31,8
B09010,31,19
B09010,31,7
B09010,31,8
B09010,31,10
B09016,31,7
B09016,31,8
B09016,31,20
B09017,31,21
B09017,31,7
B09017,31,8
B10001,32,22
B10001,32,1
B10001,32,7
B10001,32,8
B10002,32,22
B10002,32,7
B10002,32,8
B10010,32,22
B10010,32,7
B10010,32,8
B10010,32,10
B10050,32,22
B10050,32,8
B10051,32,22
B10051,32,8
B10051A,32,22
B10051A,32,3
B10051A,32,8
B10051B,32,22
B10051B,32,3
B10051B,32,8
B10051C,32,22
B10051C,32,3
B10051C,32,8
B10051D,32,22
B10051D,32,3
B10051D,32,8
B10051E,32,22
B10051E,32,3
B10051E,32,8
B10051F,32,22
B10051F,32,3
B10051F,32,8
B10051G,32,22
B10051G,32,3
B10051G,32,8
B10051H,32,22
B10051H,32,3
B10051H,32,8
B10051I,32,22
B10051I,32,3
B10051I,32,8
B10053,32,22
B10053,32,1
B10053,32,8
B10053,32,5
B10054,32,22
B10054,32,8
B10054,32,11
B10056,32,22
B10056,32,8
B10057,32,12
B10057,32,22
B10057,32,8
B10058,32,22
B10058,32,17
B10058,32,8
B10059,32,22
B10059,32,9
B10059,32,8
B10060,32,22
B10060,32,8
B10060,32,23
B10061,32,22
B10061,32,8
B10061,32,15
B10063,32,22
B10063,32,7
B10063,32,8
B11001,33,7
B11001A,33,3
B11001A,33,7
B11001B,33,3
B11001B,33,7
B11001C,33,3
B11001C,33,7
B11001D,33,3
B11001D,33,7
B11001E,33,3
B11001E,33,7
B11001F,33,3
B11001F,33,7
B11001G,33,3
B11001G,33,7
B11001H,33,3
B11001H,33,7
B11001I,33,3
B11001I,33,7
B11002,34,7
B11002A,34,3
B11002A,34,7
B11002B,34,3
B11002B,34,7
B11002C,34,3
B11002C,34,7
B11002D,34,3
B11002D,34,7
B11002E,34,3
B11002E,34,7
B11002F,34,3
B11002F,34,7
B11002G,34,3
B11002G,34,7
B11002H,34,3
B11002H,34,7
B11002I,34,3
B11002I,34,7
B11003,34,7
B11003,34,8
B11004,34,7
B11004,34,8
B11005,34,7
B11005,34,8
B11006,34,7
B11007,34,21
B11007,34,7
B11009,34,7
B11009,34,2
B11010,34,1
B11010,34,7
B11010,34,2
B11011,33,7
B11011,33,23
B11012,33,7
B11012,33,15
B11013,33,7
B11013,33,8
B11014,33,7
B11014,33,20
B11015,33,7
B11016,33,7
B12001,35,12
B12001,35,2
B12002,35,12
B12002,35,1
B12002,35,2
B12002A,36,12
B12002A,36,3
B12002A,36,2
B12002B,36,12
B12002B,36,3
B12002B,36,2
B12002C,36,12
B12002C,36,3
B12002C,36,2
B12002D,36,12
B12002D,36,3
B12002D,36,2
B12002E,36,12
B12002E,36,3
B12002E,36,2
B12002F,36,12
B12002F,36,3
B12002F,36,2
B12002G,36,12
B12002G,36,3
B12002G,36,2
B12002H,36,12
B12002H,36,3
B12002H,36,2
B12002I,36,12
B12002I,36,3
B12002I,36,2
B12005,36,12
B12005,36,5
B12006,36,12
B12006,36,2
B12007,36,12
B12007A,36,12
B12007A,36,3
B12007B,36,12
B12007B,36,3
B12007C,36,12
B12007C,36,3
B12007D,36,12
B12007D,36,3
B12007E,36,12
B12007E,36,3
B12007F,36,12
B12007F,36,3
B12007G,36,12
B12007G,36,3
B12007H,36,12
B12007H,36,3
B12007I,36,12
B12007I,36,3
B13001,37,12
B13001,37,1
B13001,37,24
B13002,37,12
B13002,37,24
B13002A,37,12
B13002A,37,24
B13002A,37,3
B13002B,37,12
B13002B,37,24
B13002B,37,3
B13002C,37,12
B13002C,37,24
B13002C,37,3
B13002D,37,12
B13002D,37,24
B13002D,37,3
B13002E,37,12
B13002E,37,24
B13002E,37,3
B13002F,37,12
B13002F,37,24
B13002F,37,3
B13002G,37,12
B13002G,37,24
B13002G,37,3
B13002H,37,12
B13002H,37,24
B13002H,37,3
B13002I,37,12
B13002I,37,24
B13002I,37,3
B13004,37,12
B13004,37,24
B13008,37,12
B13008,37,5
B13008,37,24
B13010,37,12
B13010,37,24
B13010,37,9
B13012,37,12
B13012,37,24
B13014,37,12
B13014,37,24
B13014,37,13
B13015,37,19
B13015,37,12
B13015,37,24
B13015,37,10
B13016,37,1
B13016,37,24
B14001,38,13
B14002,38,13
B14002,38,2
B14003,38,1
B14003,38,13
B14003,38,2
B14004,38,1
B14004,38,13
B14004,38,2
B14005,39,13
B14005,39,17
B14005,39,2
B14006,39,13
B14006,39,9
B15001,40,1
B15001,40,13
B15001,40,2
B15002,40,13
B15002,40,2
B16001,41,11
B16002,42,1
B16002,42,7
B16002,42,11
B16003,42,1
B16003,42,7
B16003,42,11
B16004,42,1
B16004,42,11
B16005,42,5
B16005,42,11
B16005A,42,5
B16005A,42,3
B16005A,42,11
B16005B,42,5
B16005B,42,3
B16005B,42,11
B16005C,42,5
B16005C,42,3
B16005C,42,11
B16005D,42,5
B16005D,42,3
B16005D,42,11
B16005E,42,5
B16005E,42,3
B16005E,42,11
B16005F,42,5
B16005F,42,3
B16005F,42,11
B16005G,42,5
B16005G,42,3
B16005G,42,11
B16005H,42,5
B16005H,42,3
B16005H,42,11
B16005I,42,5
B16005I,42,3
B16005I,42,11
B16006,42,3
B16006,42,11
B16007,43,1
B16007,43,11
B16008,43,1
B16008,43,6
B16008,43,11
B16009,43,1
B16009,43,9
B16009,43,11
B16010,43,13
B16010,43,17
B16010,43,11
B17001,44,1
B17001,44,9
B17001,44,2
B17001A,44,1
B17001A,44,3
B17001A,44,9
B17001A,44,2
B17001B,44,1
B17001B,44,3
B17001B,44,9
B17001B,44,2
B17001C,44,1
B17001C,44,3
B17001C,44,9
B17001C,44,2
B17001D,45,1
B17001D,45,3
B17001D,45,9
B17001D,45,2
B17001E,45,1
B17001E,45,3
B17001E,45,9
B17001E,45,2
B17001F,45,1
B17001F,45,3
B17001F,45,9
B17001F,45,2
B17001G,45,1
B17001G,45,3
B17001G,45,9
B17001G,45,2
B17001H,46,1
B17001H,46,3
B17001H,46,9
B17001H,46,2
B17001I,46,1
B17001I,46,3
B17001I,46,9
B17001I,46,2
B17003,46,13
B17003,46,9
B17003,46,2
B17004,46,17
B17004,46,9
B17004,46,2
B17005,46,17
B17005,46,9
B17005,46,2
B17006,46,7
B17006,46,1
B17006,46,18
B17006,46,9
B17006,46,8
B17007,47,1
B17007,47,9
B17007,47,2
B17008,47,2
B17008,47,9
B17008,47,10
B17009,47,7
B17009,47,17
B17009,47,9
B17010,47,7
B17010,47,1
B17010,47,18
B17010,47,9
B17010,47,8
B17010A,47,3
B17010A,47,7
B17010A,47,1
B17010A,47,18
B17010A,47,9
B17010A,47,8
B17010B,47,3
B17010B,47,7
B17010B,47,1
B17010B,47,18
B17010B,47,9
B17010B,47,8
B17010C,47,3
B17010C,47,7
B17010C,47,1
B17010C,47,18
B17010C,47,9
B17010C,47,8
B17010D,48,3
B17010D,48,7
B17010D,48,1
B17010D,48,18
B17010D,48,9
B17010D,48,8
B17010E,48,3
B17010E,48,7
B17010E,48,1
B17010E,48,18
B17010E,48,9
B17010E,48,8
B17010F,48,3
B17010F,48,7
B17010F,48,1
B17010F,48,18
B17010F,48,9
B17010F,48,8
B17010G,48,3
B17010G,48,7
B17010G,48,1
B17010G,48,18
B17010G,48,9
B17010G,48,8
B17010H,48,3
B17010H,48,7
B17010H,48,1
B17010H,48,18
B17010H,48,9
B17010H,48,8
B17010I,49,3
B17010I,49,7
B17010I,49,1
B17010I,49,18
B17010I,49,9
B17010I,49,8
B17011,49,7
B17011,49,18
B17011,49,9
B17011,49,10
B17012,49,7
B17012,49,9
B17012,49,8
B17013,49,7
B17013,49,9
B17014,49,7
B17014,49,17
B17014,49,9
B17015,49,19
B17015,49,7
B17015,49,18
B17015,49,9
B17015,49,10
B17016,49,7
B17016,49,17
B17016,49,18
B17016,49,9
B17017,50,7
B17017,50,1
B17017,50,9
B17018,50,7
B17018,50,13
B17018,50,9
B17019,50,7
B17019,50,9
B17019,50,15
B17020A,50,1
B17020A,50,3
B17020A,50,9
B17020B,50,1
B17020B,50,3
B17020B,50,9
B17020C,50,1
B17020C,50,3
B17020C,50,9
B17020D,50,1
B17020D,50,3
B17020D,50,9
B17020E,50,1
B17020E,50,3
B17020E,50,9
B17020F,50,1
B17020F,50,3
B17020F,50,9
B17020G,50,1
B17020G,50,3
B17020G,50,9
B17020H,51,1
B17020H,51,3
B17020H,51,9
B17020I,51,1
B17020I,51,3
B17020I,51,9
B17021,51,7
B17021,51,9
B17022,51,7
B17022,51,1
B17022,51,18
B17022,51,9
B17022,51,10
B17022,51,8
B17023,51,7
B17023,51,9
B17023,51,8
B17024,52,1
B17024,52,9
B17024,52,10
B17025,52,5
B17025,52,9
B17026,52,7
B17026,52,9
B17026,52,10
B19001,53,7
B19001,53,10
B19001A,53,3
B19001A,53,7
B19001A,53,10
B19001B,53,3
B19001B,53,7
B19001B,53,10
B19001C,53,3
B19001C,53,7
B19001C,53,10
B19001D,53,3
B19001D,53,7
B19001D,53,10
B19001E,53,3
B19001E,53,7
B19001E,53,10
B19001F,53,3
B19001F,53,7
B19001F,53,10
B19001G,53,3
B19001G,53,7
B19001G,53,10
B19001H,53,3
B19001H,53,7
B19001H,53,10
B19001I,53,3
B19001I,53,7
B19001I,53,10
B19013,53,7
B19013,53,10
B19013A,53,3
B19013A,53,7
B19013A,53,10
B19013B,53,3
B19013B,53,7
B19013B,53,10
B19013C,53,3
B19013C,53,7
B19013C,53,10
B19013D,53,3
B19013D,53,7
B19013D,53,10
B19013E,53,3
B19013E,53,7
B19013E,53,10
B19013F,53,3
B19013F,53,7
B19013F,53,10
B19013G,53,3
B19013G,53,7
B19013G,53,10
B19013H,53,3
B19013H,53,7
B19013H,53,10
B19013I,53,3
B19013I,53,7
B19013I,53,10
B19019,53,7
B19019,53,10
B19025,53,7
B19025,53,10
B19025A,53,3
B19025A,53,7
B19025A,53,10
B19025B,53,3
B19025B,53,7
B19025B,53,10
B19025C,53,3
B19025C,53,7
B19025C,53,10
B19025D,53,3
B19025D,53,7
B19025D,53,10
B19025E,53,3
B19025E,53,7
B19025E,53,10
B19025F,53,3
B19025F,53,7
B19025F,53,10
B19025G,53,3
B19025G,53,7
B19025G,53,10
B19025H,53,3
B19025H,53,7
B19025H,53,10
B19025I,53,3
B19025I,53,7
B19025I,53,10
B19037,54,7
B19037,54,10
B19037A,54,3
B19037A,54,7
B19037A,54,10
B19037B,54,3
B19037B,54,7
B19037B,54,10
B19037C,55,3
B19037C,55,7
B19037C,55,10
B19037D,55,3
B19037D,55,7
B19037D,55,10
B19037E,55,3
B19037E,55,7
B19037E,55,10
B19037F,56,3
B19037F,56,7
B19037F,56,10
B19037G,56,3
B19037G,56,7
B19037G,56,10
B19037H,56,3
B19037H,56,7
B19037H,56,10
B19037I,57,3
B19037I,57,7
B19037I,57,10
B19049,57,1
B19049,57,7
B19049,57,10
B19050,57,1
B19050,57,7
B19050,57,10
B19051,57,7
B19051,57,10
B19052,57,7
B19052,57,10
B19053,57,17
B19053,57,7
B19053,57,10
B19054,57,7
B19054,57,10
B19055,57,7
B19055,57,10
B19056,57,7
B19056,57,10
B19057,57,19
B19057,57,7
B19057,57,10
B19058,57,19
B19058,57,7
B19058,57,10
B19059,57,7
B19059,57,10
B19060,57,7
B19060,57,10
B19061,57,7
B19061,57,10
B19062,57,7
B19062,57,10
B19063,57,17
B19063,57,7
B19063,57,10
B19064,57,7
B19064,57,10
B19065,57,7
B19065,57,10
B19066,57,7
B19066,57,10
B19067,57,19
B19067,57,7
B19067,57,10
B19069,57,7
B19069,57,10
B19070,57,7
B19070,57,10
B19080,57,7
B19080,57,10
B19081,57,7
B19081,57,10
B19082,57,7
B19082,57,10
B19083,57,10
B19101,58,7
B19101,58,10
B19101A,58,3
B19101A,58,7
B19101A,58,10
B19101B,58,3
B19101B,58,7
B19101B,58,10
B19101C,58,3
B19101C,58,7
B19101C,58,10
B19101D,58,3
B19101D,58,7
B19101D,58,10
B19101E,58,3
B19101E,58,7
B19101E,58,10
B19101F,58,3
B19101F,58,7
B19101F,58,10
B19101G,58,3
B19101G,58,7
B19101G,58,10
B19101H,58,3
B19101H,58,7
B19101H,58,10
B19101I,58,3
B19101I,58,7
B19101I,58,10
B19113,58,7
B19113,58,10
B19113A,58,3
B19113A,58,7
B19113A,58,10
B19113B,58,3
B19113B,58,7
B19113B,58,10
B19113C,58,3
B19113C,58,7
B19113C,58,10
B19113D,58,3
B19113D,58,7
B19113D,58,10
B19113E,58,3
B19113E,58,7
B19113E,58,10
B19113F,58,3
B19113F,58,7
B19113F,58,10
B19113G,58,3
B19113G,58,7
B19113G,58,10
B19113H,58,3
B19113H,58,7
B19113H,58,10
B19113I,58,3
B19113I,58,7
B19113I,58,10
B19119,58,18
B19119,58,7
B19119,58,10
B19121,58,7
B19121,58,10
B19125,58,7
B19125,58,8
B19125,58,10
B19126,58,18
B19126,58,7
B19126,58,8
B19126,58,10
B19127,58,7
B19127,58,10
B19128,58,18
B19128,58,7
B19128,58,8
B19128,58,10
B19129,58,17
B19129,58,7
B19129,58,10
B19130,57,1
B19130,57,18
B19130,57,7
B19130,57,10
B19131,59,18
B19131,59,7
B19131,59,8
B19131,59,10
B19201,59,7
B19201,59,10
B19202,59,7
B19202,59,10
B19202A,59,3
B19202A,59,7
B19202A,59,10
B19202B,59,3
B19202B,59,7
B19202B,59,10
B19202C,59,3
B19202C,59,7
B19202C,59,10
B19202D,59,3
B19202D,59,7
B19202D,59,10
B19202E,59,3
B19202E,59,7
B19202E,59,10
B19202F,59,3
B19202F,59,7
B19202F,59,10
B19202G,59,3
B19202G,59,7
B19202G,59,10
B19202H,59,3
B19202H,59,7
B19202H,59,10
B19202I,59,3
B19202I,59,7
B19202I,59,10
B19214,59,7
B19214,59,10
B19215,59,1
B19215,59,2
B19215,59,7
B19215,59,10
B19216,59,1
B19216,59,2
B19216,59,7
B19216,59,10
B19301,59,10
B19301A,59,3
B19301A,59,10
B19301B,59,3
B19301B,59,10
B19301C,59,3
B19301C,59,10
B19301D,59,3
B19301D,59,10
B19301E,59,3
B19301E,59,10
B19301F,59,3
B19301F,59,10
B19301G,59,3
B19301G,59,10
B19301H,59,3
B19301H,59,10
B19301I,59,3
B19301I,59,10
B19313,59,10
B19313A,59,3
B19313A,59,10
B19313B,59,3
B19313B,59,10
B19313C,59,3
B19313C,59,10
B19313D,59,3
B19313D,59,10
B19313E,59,3
B19313E,59,10
B19313F,59,3
B19313F,59,10
B19313G,59,3
B19313G,59,10
B19313H,59,3
B19313H,59,10
B19313I,59,3
B19313I,59,10
B19325,60,2
B19325,60,17
B19325,60,10
B19326,60,2
B19326,60,17
B19326,60,10
B20001,61,2
B20001,61,10
B20002,61,2
B20002,61,10
B20003,61,2
B20003,61,17
B20003,61,10
B20004,61,13
B20004,61,2
B20004,61,10
B20005,61,2
B20005,61,17
B20005,61,10
B20005A,62,2
B20005A,62,17
B20005A,62,3
B20005A,62,10
B20005B,62,2
B20005B,62,17
B20005B,62,3
B20005B,62,10
B20005C,63,2
B20005C,63,3
B20005C,63,17
B20005C,63,10
B20005D,63,2
B20005D,63,3
B20005D,63,17
B20005D,63,10
B20005E,64,2
B20005E,64,17
B20005E,64,3
B20005E,64,10
B20005F,64,2
B20005F,64,3
B20005F,64,17
B20005F,64,10
B20005G,65,2
B20005G,65,3
B20005G,65,17
B20005G,65,10
B20005H,65,2
B20005H,65,17
B20005H,65,3
B20005H,65,10
B20005I,66,2
B20005I,66,17
B20005I,66,3
B20005I,66,10
B20017,66,2
B20017,66,17
B20017,66,10
B20017A,66,2
B20017A,66,17
B20017A,66,3
B20017A,66,10
B20017B,66,2
B20017B,66,17
B20017B,66,3
B20017B,66,10
B20017C,66,2
B20017C,66,3
B20017C,66,17
B20017C,66,10
B20017D,66,2
B20017D,66,3
B20017D,66,17
B20017D,66,10
B20017E,66,2
B20017E,66,17
B20017E,66,3
B20017E,66,10
B20017F,66,2
B20017F,66,3
B20017F,66,17
B20017F,66,10
B20017G,66,2
B20017G,66,3
B20017G,66,17
B20017G,66,10
B20017H,66,2
B20017H,66,17
B20017H,66,3
B20017H,66,10
B20017I,66,2
B20017I,66,17
B20017I,66,3
B20017I,66,10
B21001,67,1
B21001,67,25
B21001,67,2
B21002,67,25
B21003,67,13
B21003,67,25
B21004,67,2
B21004,67,25
B21004,67,10
B21005,67,17
B21005,67,1
B21005,67,25
B22001,68,19
B22001,68,7
B22002,68,19
B22002,68,7
B22002,68,8
B22003,68,19
B22003,68,9
B22003,68,7
B22005A,68,19
B22005A,68,3
B22005A,68,7
B22005B,68,19
B22005B,68,3
B22005B,68,7
B22005C,68,19
B22005C,68,3
B22005C,68,7
B22005D,68,19
B22005D,68,3
B22005D,68,7
B22005E,68,19
B22005E,68,3
B22005E,68,7
B22005F,68,19
B22005F,68,3
B22005F,68,7
B22005G,68,19
B22005G,68,3
B22005G,68,7
B22005H,68,19
B22005H,68,3
B22005H,68,7
B22005I,68,19
B22005I,68,3
B22005I,68,7
B22007,68,19
B22007,68,17
B22007,68,18
B22007,68,7
B22008,68,19
B22008,68,7
B22008,68,10
B23001,69,1
B23001,69,17
B23001,69,2
B23003,70,1
B23003,70,17
B23003,70,8
B23004,70,21
B23004,70,1
B23004,70,17
B23006,71,13
B23006,71,17
B23007,71,7
B23007,71,18
B23007,71,17
B23007,71,8
B23008,71,7
B23008,71,17
B23008,71,8
B23009,71,7
B23009,71,18
B23009,71,17
B23009,71,8
