table_id,sequence_number,topic_id
B00001,1,0
B00002,1,0
B01001,2,1
B01001,2,2
B01001A,2,1
B01001A,2,3
B01001A,2,2
C01001A,3,1
C01001A,3,3
C01001A,3,2
B01001B,2,1
B01001B,2,3
B01001B,2,2
C01001B,3,1
C01001B,3,3
C01001B,3,2
B01001C,2,1
B01001C,2,3
B01001C,2,2
C01001C,3,1
C01001C,3,3
C01001C,3,2
B01001D,2,1
B01001D,2,3
B01001D,2,2
C01001D,3,1
C01001D,3,3
C01001D,3,2
B01001E,2,1
B01001E,2,3
B01001E,2,2
C01001E,3,1
C01001E,3,3
C01001E,3,2
B01001F,2,1
B01001F,2,3
B01001F,2,2
C01001F,3,1
C01001F,3,3
C01001F,3,2
B01001G,3,1
B01001G,3,3
B01001G,3,2
C01001G,3,1
C01001G,3,3
C01001G,3,2
B01001H,3,1
B01001H,3,3
B01001H,3,2
C01001H,3,1
C01001H,3,3
C01001H,3,2
B01001I,3,1
B01001I,3,3
B01001I,3,2
C01001I,3,1
C01001I,3,3
C01001I,3,2
B01002,3,1
B01002,3,2
B01002A,3,1
B01002A,3,3
B01002A,3,2
B01002B,3,1
B01002B,3,3
B01002B,3,2
B01002C,3,1
B01002C,3,3
B01002C,3,2
B01002D,3,1
B01002D,3,3
B01002D,3,2
B01002E,3,1
B01002E,3,3
B01002E,3,2
B01002F,3,1
B01002F,3,3
B01002F,3,2
B01002G,3,1
B01002G,3,3
B01002G,3,2
B01002H,3,1
B01002H,3,3
B01002H,3,2
B01002I,3,1
B01002I,3,3
B01002I,3,2
B01003,3,1
B01003,3,2
B02001,4,3
B02003,4,3
C02003,4,3
B02008,4,3
B02009,4,3
B02010,4,3
B02011,4,3
B02012,4,3
B02013,4,3
B02014,4,3
C02014,4,3
B02015,4,3
C02015,4,3
B02016,4,3
C02016,4,3
B02017,5,3
B02018,5,3
B02019,5,3
B03001,6,3
C03001,6,3
B03002,6,3
C03002,6,3
B03003,6,3
B04001,7,4
C04001,7,4
B04002,8,4
C04002,8,4
B04003,9,4
C04003,9,4
B04004,10,4
C04004,10,4
B04005,11,4
C04005,11,4
B04006,12,4
C04006,12,4
B04007,12,4
C04007,12,4
B05001,13,5
B05001,13,6
C05001,13,5
C05001,13,6
B05001PR,13,5
B05001PR,13,6
B05002,13,5
B05002,13,6
C05002,13,5
B05003,13,5
B05003,13,1
B05003,13,6
B05003,13,2
C05003,14,5
C05003,14,1
C05003,14,2
B05003A,13,5
B05003A,13,1
B05003A,13,3
B05003A,13,6
B05003A,13,2
C05003A,14,5
C05003A,14,1
C05003A,14,3
C05003A,14,2
B05003B,13,5
B05003B,13,1
B05003B,13,3
B05003B,13,6
B05003B,13,2
C05003B,14,5
C05003B,14,1
C05003B,14,3
C05003B,14,2
B05003C,13,5
B05003C,13,1
B05003C,13,3
B05003C,13,6
B05003C,13,2
C05003C,14,5
C05003C,14,1
C05003C,14,3
C05003C,14,2
B05003D,13,5
B05003D,13,1
B05003D,13,3
B05003D,13,6
B05003D,13,2
C05003D,14,5
C05003D,14,1
C05003D,14,3
C05003D,14,2
B05003E,13,5
B05003E,13,1
B05003E,13,3
B05003E,13,6
B05003E,13,2
C05003E,14,5
C05003E,14,1
C05003E,14,3
C05003E,14,2
B05003F,13,5
B05003F,13,1
B05003F,13,3
B05003F,13,6
B05003F,13,2
C05003F,14,5
C05003F,14,1
C05003F,14,3
C05003F,14,2
B05003G,13,5
B05003G,13,1
B05003G,13,3
B05003G,13,6
B05003G,13,2
C05003G,14,5
C05003G,14,1
C05003G,14,3
C05003G,14,2
B05003H,14,5
B05003H,14,1
B05003H,14,3
B05003H,14,6
B05003H,14,2
C05003H,14,5
C05003H,14,1
C05003H,14,3
C05003H,14,2
B05003I,14,5
B05003I,14,1
B05003I,14,3
B05003I,14,6
B05003I,14,2
C05003I,14,5
C05003I,14,1
C05003I,14,3
C05003I,14,2
B05004,14,5
B05004,14,1
B05004,14,6
B05004,14,2
B05005,14,5
B05005,14,6
C05005,14,5
B05005PR,15,5
B05005PR,15,6
C05005PR,15,5
B05006,15,5
C05006,16,5
B05006PR,16,5
B05007,16,5
B05007,16,6
C05007,17,5
C05007,17,6
B05008,17,5
B05008,17,2
C05008,17,5
C05008,17,2
B05009,17,5
B05009,17,7
B05009,17,8
C05009,17,5
C05009,17,7
C05009,17,8
B05010,18,5
B05010,18,9
B05010,18,7
B05010,18,8
B05010,18,10
C05010,18,5
C05010,18,9
C05010,18,7
C05010,18,8
C05010,18,10
B05011,18,5
B05011,18,6
C05011,18,5
C05011,18,6
B05012,18,5
B06001,19,5
B06001,19,1
C06001,19,5
C06001,19,1
B06001PR,19,5
B06001PR,19,1
C06001PR,19,5
C06001PR,19,1
B06002,19,5
B06002,19,1
B06002PR,19,5
B06002PR,19,1
B06003,19,5
B06003,19,2
C06003,19,5
C06003,19,2
