table_id,sequence_number,topic_id
B00001,1,0
B00002,1,0
B01001,2,1
B01001,2,2
B01001A,2,1
B01001A,2,3
B01001A,2,2
C01001A,3,1
C01001A,3,3
C01001A,3,2
B01001B,2,1
B01001B,2,3
B01001B,2,2
C01001B,3,1
C01001B,3,3
C01001B,3,2
B01001C,2,1
B01001C,2,3
B01001C,2,2
C01001C,3,1
C01001C,3,3
C01001C,3,2
B01001D,2,1
B01001D,2,3
B01001D,2,2
C01001D,3,1
C01001D,3,3
C01001D,3,2
B01001E,2,1
B01001E,2,3
B01001E,2,2
C01001E,3,1
C01001E,3,3
C01001E,3,2
B01001F,2,1
B01001F,2,3
B01001F,2,2
C01001F,3,1
C01001F,3,3
C01001F,3,2
B01001G,3,1
B01001G,3,3
B01001G,3,2
C01001G,3,1
C01001G,3,3
C01001G,3,2
B01001H,3,1
B01001H,3,3
B01001H,3,2
C01001H,3,1
C01001H,3,3
C01001H,3,2
B01001I,3,1
B01001I,3,3
B01001I,3,2
C01001I,3,1
C01001I,3,3
C01001I,3,2
B01002,3,1
B01002,3,2
B01002A,3,1
B01002A,3,3
B01002A,3,2
B01002B,3,1
B01002B,3,3
B01002B,3,2
B01002C,3,1
B01002C,3,3
B01002C,3,2
B01002D,3,1
B01002D,3,3
B01002D,3,2
B01002E,3,1
B01002E,3,3
B01002E,3,2
B01002F,3,1
B01002F,3,3
B01002F,3,2
B01002G,3,1
B01002G,3,3
B01002G,3,2
B01002H,3,1
B01002H,3,3
B01002H,3,2
B01002I,3,1
B01002I,3,3
B01002I,3,2
B01003,3,1
B01003,3,2
B02001,4,3
B02003,4,3
C02003,4,3
B02005,4,3
C02005,4,3
C02006,4,3
C02007,4,3
B02008,4,3
B02009,4,3
B02010,4,3
B02011,4,3
B02012,4,3
B02013,4,3
B03001,5,3
C03001,5,3
B03002,5,3
C03002,5,3
B03003,5,3
B04001,6,4
C04001,6,4
B04002,7,4
C04002,7,4
B04003,8,4
C04003,8,4
B04004,9,4
C04004,9,4
B04005,10,4
C04005,10,4
B04006,11,4
C04006,11,4
B04007,11,4
C04007,11,4
B05001,12,5
B05001,12,6
C05001,12,5
C05001,12,6
B05001PR,12,5
B05001PR,12,6
B05002,12,5
B05002,12,6
C05002,12,5
B05003,12,5
B05003,12,1
B05003,12,6
B05003,12,2
C05003,13,5
C05003,13,1
C05003,13,2
B05003A,12,5
B05003A,12,1
B05003A,12,3
B05003A,12,6
B05003A,12,2
C05003A,13,5
C05003A,13,1
C05003A,13,3
C05003A,13,2
B05003B,12,5
B05003B,12,1
B05003B,12,3
B05003B,12,6
B05003B,12,2
C05003B,13,5
C05003B,13,1
C05003B,13,3
C05003B,13,2
B05003C,12,5
B05003C,12,1
B05003C,12,3
B05003C,12,6
B05003C,12,2
C05003C,13,5
C05003C,13,1
C05003C,13,3
C05003C,13,2
B05003D,12,5
B05003D,12,1
B05003D,12,3
B05003D,12,6
B05003D,12,2
C05003D,13,5
C05003D,13,1
C05003D,13,3
C05003D,13,2
B05003E,12,5
B05003E,12,1
B05003E,12,3
B05003E,12,6
B05003E,12,2
C05003E,13,5
C05003E,13,1
C05003E,13,3
C05003E,13,2
B05003F,12,5
B05003F,12,1
B05003F,12,3
B05003F,12,6
B05003F,12,2
C05003F,13,5
C05003F,13,1
C05003F,13,3
C05003F,13,2
B05003G,12,5
B05003G,12,1
B05003G,12,3
B05003G,12,6
B05003G,12,2
C05003G,13,5
C05003G,13,1
C05003G,13,3
C05003G,13,2
B05003H,13,5
B05003H,13,1
B05003H,13,3
B05003H,13,6
B05003H,13,2
C05003H,13,5
C05003H,13,1
C05003H,13,3
C05003H,13,2
B05003I,13,5
B05003I,13,1
B05003I,13,3
B05003I,13,6
B05003I,13,2
C05003I,13,5
C05003I,13,1
C05003I,13,3
C05003I,13,2
B05004,13,5
B05004,13,1
B05004,13,6
B05004,13,2
B05005,13,5
B05005,13,6
C05005,13,5
B05005PR,14,5
B05005PR,14,6
C05005PR,14,5
B05006,14,5
C05006,15,5
B05006PR,15,5
B05007,15,5
B05007,15,6
C05007,16,5
C05007,16,6
B05008,16,5
B05008,16,2
C05008,16,5
C05008,16,2
B05009,16,5
B05009,16,7
B05009,16,8
C05009,16,5
C05009,16,7
C05009,16,8
B05010,17,5
B05010,17,9
B05010,17,7
B05010,17,8
B05010,17,10
C05010,17,5
C05010,17,9
C05010,17,7
C05010,17,8
C05010,17,10
B05011,17,5
B05011,17,6
C05011,17,5
C05011,17,6
B05012,17,5
B06001,18,5
B06001,18,1
C06001,18,5
C06001,18,1
B06001PR,18,5
B06001PR,18,1
C06001PR,18,5
C06001PR,18,1
B06002,18,5
B06002,18,1
B06002PR,18,5
B06002PR,18,1
B06003,18,5
B06003,18,2
C06003,18,5
C06003,18,2
B06003PR,19,5
B06003PR,19,2
C06003PR,19,5
C06003PR,19,2
