table_id,sequence_number,topic_id
B00001,1,0
B00002,1,0
B01001,2,1
B01001,2,2
B01001A,2,1
B01001A,2,3
B01001A,2,2
B01001B,2,1
B01001B,2,3
B01001B,2,2
B01001C,2,1
B01001C,2,3
B01001C,2,2
B01001D,2,1
B01001D,2,3
B01001D,2,2
B01001E,2,1
B01001E,2,3
B01001E,2,2
B01001F,2,1
B01001F,2,3
B01001F,2,2
B01001G,3,1
B01001G,3,3
B01001G,3,2
B01001H,3,1
B01001H,3,3
B01001H,3,2
B01001I,3,1
B01001I,3,3
B01001I,3,2
B01002,3,1
B01002,3,2
B01002A,3,1
B01002A,3,3
B01002A,3,2
B01002B,3,1
B01002B,3,3
B01002B,3,2
B01002C,3,1
B01002C,3,3
B01002C,3,2
B01002D,3,1
B01002D,3,3
B01002D,3,2
B01002E,3,1
B01002E,3,3
B01002E,3,2
B01002F,3,1
B01002F,3,3
B01002F,3,2
B01002G,3,1
B01002G,3,3
B01002G,3,2
B01002H,3,1
B01002H,3,3
B01002H,3,2
B01002I,3,1
B01002I,3,3
B01002I,3,2
B01003,3,1
B01003,3,2
B02001,4,3
B02005,4,3
B02006,4,3
B02007,4,3
B02008,4,3
B02009,4,3
B02010,4,3
B02011,4,3
B02012,4,3
B02013,4,3
B03001,5,3
B03002,5,3
B03003,5,3
B04001,6,4
B04002,6,4
B04003,7,4
B04004,7,4
B04005,8,4
B04006,8,4
B04007,8,4
B05001,9,5
B05001,9,6
B05001PR,9,5
B05001PR,9,6
B05002,9,5
B05002,9,6
B05003,9,5
B05003,9,1
B05003,9,6
B05003,9,2
B05003A,9,5
B05003A,9,1
B05003A,9,3
B05003A,9,6
B05003A,9,2
B05003B,9,5
B05003B,9,1
B05003B,9,3
B05003B,9,6
B05003B,9,2
B05003C,9,5
B05003C,9,1
B05003C,9,3
B05003C,9,6
B05003C,9,2
B05003D,9,5
B05003D,9,1
B05003D,9,3
B05003D,9,6
B05003D,9,2
B05003E,9,5
B05003E,9,1
B05003E,9,3
B05003E,9,6
B05003E,9,2
B05003F,9,5
B05003F,9,1
B05003F,9,3
B05003F,9,6
B05003F,9,2
B05003G,9,5
B05003G,9,1
B05003G,9,3
B05003G,9,6
B05003G,9,2
B05003H,9,5
B05003H,9,1
B05003H,9,3
B05003H,9,6
B05003H,9,2
B05003I,10,5
B05003I,10,1
B05003I,10,3
B05003I,10,6
B05003I,10,2
B05004,10,5
B05004,10,1
B05004,10,6
B05004,10,2
B05005,10,5
B05005,10,6
B05005PR,10,5
B05005PR,10,6
B05006,10,5
B05006PR,11,5
B05007,11,5
B05007,11,6
B05008,11,5
B05008,11,2
B05009,12,5
B05009,12,7
B05009,12,8
B05010,12,5
B05010,12,9
B05010,12,7
B05010,12,8
B05010,12,10
B05012,12,5
B06001,13,5
B06001,13,1
B06001PR,13,5
B06001PR,13,1
B06002,13,5
B06002,13,1
B06002PR,13,5
B06002PR,13,1
B06003,13,5
B06003,13,2
B06003PR,13,5
B06003PR,13,2
B06004A,13,5
B06004A,13,3
B06004APR,13,5
B06004APR,13,3
B06004B,13,5
B06004B,13,3
B06004BPR,13,5
B06004BPR,13,3
B06004C,13,5
B06004C,13,3
B06004CPR,13,5
B06004CPR,13,3
B06004D,13,5
B06004D,13,3
B06004DPR,13,5
B06004DPR,13,3
B06004E,13,5
B06004E,13,3
B06004EPR,13,5
B06004EPR,13,3
B06004F,13,5
B06004F,13,3
B06004FPR,13,5
B06004FPR,13,3
B06004G,13,5
B06004G,13,3
B06004GPR,13,5
B06004GPR,13,3
B06004H,13,5
B06004H,13,3
B06004HPR,13,5
B06004HPR,13,3
B06004I,13,5
B06004I,13,3
B06004IPR,14,5
B06004IPR,14,3
B06007,14,5
B06007,14,11
B06007PR,14,5
B06007PR,14,11
B06008,14,12
B06008,14,5
B06008PR,14,12
B06008PR,14,5
B06009,14,5
B06009,14,13
B06009PR,14,5
B06009PR,14,13
B06010,15,5
B06010,15,10
B06010PR,15,5
B06010PR,15,10
B06011,15,5
B06011,15,10
B06011PR,15,5
B06011PR,15,10
B06012,15,5
B06012,15,9
B06012PR,15,5
B06012PR,15,9
B07001,16,1
B07001,16,14
B07001PR,16,1
B07001PR,16,14
B07002,16,1
B07002,16,14
B07002PR,16,1
B07002PR,16,14
B07003,16,14
B07003,16,2
B07003PR,16,14
B07003PR,16,2
B07004A,17,3
B07004A,17,14
B07004APR,17,3
B07004APR,17,14
B07004B,17,3
B07004B,17,14
B07004BPR,17,3
B07004BPR,17,14
B07004C,17,3
B07004C,17,14
B07004CPR,17,3
B07004CPR,17,14
B07004D,17,3
B07004D,17,14
B07004DPR,17,3
B07004DPR,17,14
B07004E,17,3
B07004E,17,14
B07004EPR,17,3
B07004EPR,17,14
B07004F,17,3
B07004F,17,14
B07004FPR,17,3
B07004FPR,17,14
B07004G,17,3
B07004G,17,14
