table_id,sequence_number,topic_id
B00001,12,0
B00002,12,0
B01001,13,1
B01001,13,2
B01001A,13,1
B01001A,13,3
B01001A,13,2
C01001A,13,1
C01001A,13,3
C01001A,13,2
B01001B,13,1
B01001B,13,3
B01001B,13,2
C01001B,13,1
C01001B,13,3
C01001B,13,2
B01001C,13,1
B01001C,13,3
B01001C,13,2
C01001C,13,1
C01001C,13,3
C01001C,13,2
B01001D,13,1
B01001D,13,3
B01001D,13,2
C01001D,13,1
C01001D,13,3
C01001D,13,2
B01001E,14,1
B01001E,14,3
B01001E,14,2
C01001E,14,1
C01001E,14,3
C01001E,14,2
B01001F,14,1
B01001F,14,3
B01001F,14,2
C01001F,14,1
C01001F,14,3
C01001F,14,2
B01001G,14,1
B01001G,14,3
B01001G,14,2
C01001G,14,1
C01001G,14,3
C01001G,14,2
B01001H,14,1
B01001H,14,3
B01001H,14,2
C01001H,14,1
C01001H,14,3
C01001H,14,2
B01001I,14,1
B01001I,14,3
B01001I,14,2
C01001I,14,1
C01001I,14,3
C01001I,14,2
B01002,14,1
B01002,14,2
B01002A,14,1
B01002A,14,3
B01002A,14,2
B01002B,14,1
B01002B,14,3
B01002B,14,2
B01002C,14,1
B01002C,14,3
B01002C,14,2
B01002D,14,1
B01002D,14,3
B01002D,14,2
B01002E,14,1
B01002E,14,3
B01002E,14,2
B01002F,14,1
B01002F,14,3
B01002F,14,2
B01002G,14,1
B01002G,14,3
B01002G,14,2
B01002H,14,1
B01002H,14,3
B01002H,14,2
B01002I,14,1
B01002I,14,3
B01002I,14,2
B01003,14,1
B01003,14,2
B02001,15,3
B02003,15,3
C02003,15,3
B02005,15,3
C02005,15,3
B02006,15,3
C02006,15,3
B02007,15,3
C02007,15,3
B02008,15,3
B02009,15,3
B02010,15,3
B02011,15,3
B02012,15,3
B02013,15,3
B03001,16,3
C03001,16,3
B03002,16,3
C03002,16,3
B03003,16,3
B04001,17,4
C04001,17,4
B04002,18,4
C04002,18,4
B04003,19,4
C04003,19,4
B04004,20,4
C04004,20,4
B04005,21,4
C04005,21,4
B04006,22,4
C04006,22,4
B04007,22,4
C04007,22,4
B05001,23,5
B05001,23,6
C05001,23,5
C05001,23,6
B05001PR,171,5
B05001PR,171,6
B05002,171,5
B05002,171,6
C05002,171,5
B05003,171,5
B05003,171,1
B05003,171,6
B05003,171,2
C05003,171,5
C05003,171,1
C05003,171,2
B05003A,171,5
B05003A,171,1
B05003A,171,3
B05003A,171,6
B05003A,171,2
C05003A,171,5
C05003A,171,1
C05003A,171,3
C05003A,171,2
B05003B,171,5
B05003B,171,1
B05003B,171,3
B05003B,171,6
B05003B,171,2
C05003B,171,5
C05003B,171,1
C05003B,171,3
C05003B,171,2
B05003C,171,5
B05003C,171,1
B05003C,171,3
B05003C,171,6
B05003C,171,2
C05003C,171,5
C05003C,171,1
C05003C,171,3
C05003C,171,2
B05003D,171,5
B05003D,171,1
B05003D,171,3
B05003D,171,6
B05003D,171,2
C05003D,171,5
C05003D,171,1
C05003D,171,3
C05003D,171,2
B05003E,172,5
B05003E,172,1
B05003E,172,3
B05003E,172,6
B05003E,172,2
C05003E,172,5
C05003E,172,1
C05003E,172,3
C05003E,172,2
B05003F,172,5
B05003F,172,1
B05003F,172,3
